,equipment_id,station_id,station_name,serial_number,start_time,end_time,part_family,part_id
7019,6,2,2,1746,2024-04-04 15:04:34.997,2024-04-04 15:05:11.979,1,cf284051-582a-4cd9-8d74-eeab2a325cf6
7020,4,6,1,1749,2024-04-04 15:04:51.030,2024-04-04 15:05:14.387,1,2d11ad27-f0f2-4675-b028-765084291f00
7021,2,3,0,1754,2024-04-04 15:03:42.550,2024-04-04 15:05:34.781,1,ed6157ce-334b-436b-a234-355e85b5a61a
7022,3,0,0,1755,2024-04-04 15:04:26.501,2024-04-04 15:05:58.422,1,9d222873-256c-468d-9100-77ec42e8c168
7023,6,2,2,1747,2024-04-04 15:05:31.658,2024-04-04 15:06:08.571,1,c89c2c07-bfec-436a-be60-8340231858d6
7024,4,6,1,1758,2024-04-04 15:05:46.780,2024-04-04 15:06:09.551,1,5d40e7f3-a838-482c-9652-efa151f4b885
7025,6,2,2,1749,2024-04-04 15:07:50.525,2024-04-04 15:08:27.761,1,2d11ad27-f0f2-4675-b028-765084291f00
7026,4,6,1,1760,2024-04-04 15:08:05.714,2024-04-04 15:08:29.938,1,7393d3ab-05d6-4ee3-9fc3-1daa852b4d53
7027,0,5,0,1757,2024-04-04 15:07:45.067,2024-04-04 15:09:27.301,1,ec3e2f93-8e4e-442c-9d07-55e7ad6efad2
7028,6,2,2,1758,2024-04-04 15:35:31.923,2024-04-04 15:36:09.269,1,5d40e7f3-a838-482c-9652-efa151f4b885
7029,4,6,1,1762,2024-04-04 15:35:47.262,2024-04-04 15:36:10.725,1,96114b55-3e05-4499-8efd-ea0f6ca2b0e6
7030,4,6,1,1763,2024-04-04 15:36:42.965,2024-04-04 15:37:06.401,1,da324a6b-9ed6-40ff-ad3d-e6b72640efe7
7031,1,1,0,1746,2024-04-04 15:35:24.562,2024-04-04 15:37:16.703,1,57ca3f1e-c0f3-4d37-be03-05e043914082
7032,2,3,0,1833,2024-04-04 18:20:45.847,2024-04-04 18:22:24.730,1,d21d80c3-a8c1-4b1d-87db-10a5fd676526
